0,1
Nombre,Resultado
"naftadisolvente(petróleo),fracciónaromáticaligera1,2,4-TrimetilbencenoXilenos,mezclaisómerosEtilbenceno",PELIGROPORASPIRACIÓN-Categoría1PELIGROPORASPIRACIÓN-Categoría1PELIGROPORASPIRACIÓN-Categoría1PELIGROPORASPIRACIÓN-Categoría1
