0,1,2
Components,Species,TestResults
propane(CAS74-98-6),,
Acute,,
Dermal,,
LD50,Rabbit,>5000mg/kg
titaniumdioxide(CAS134,63-67-7),
Acute,,
Dermal,,
LD50,Rabbit,>10000mg/kg
Oral,,
LD50,Rat,>10000mg/kg
