0,1,2,3
,Nombredelproducto,NúmeroCAS,%
FormularioR-Requisitosdeinformes,"1,2,4-Trimetilbenceno2-ButoxietanolXilenos,mezclaisómerosEtilbenceno",95-63-6111-76-21330-20-7100-41-4,≤3≤3≤1.4≤0.3
Notificacióndelproveedor,"1,2,4-Trimetilbenceno2-ButoxietanolXilenos,mezclaisómerosEtilbenceno",95-63-6111-76-21330-20-7100-41-4,≤3≤3≤1.4≤0.3
