0,1,2,3,4
Componentes,No.CAS,Tipodevalor(Formadeexposición),Parámetrosdecontrol/Concentraciónpermisible,Base
eDióxidodetitaniotanodiol,113463-67-707-21-1,"STWA(fraccióninhalable)TEL(fraccióninhalable,aerosol)STEL(Vapor)TWA(fraccióninhalable)",110mg/m30mg/m350ppm25ppm,AACGIHCGIH
