0,1,2,3
Nombredeproductooingrediente,OSHA,IARC,NTP
"Dióxidodetitanio2-ButoxietanolXilenos,mezclaisómerosEtilbencenoTetrahidrofuranocrystallinesilica,non-respirable",------,2B332B2B1,-----Conocidocomocarcinógenohumano.
