0,1,2,3
Nombre,Categoría,Rutadeexposición,Órganosvitales
"Diacetonaalcoholnaftadisolvente(petróleo),fracciónaromáticaligera1,2,4-TrimetilbencenoXilenos,mezclaisómerosAcetonaTetrahidrofurano",Categoría3Categoría3Categoría3Categoría3Categoría3Categoría3Categoría3,------,IrritacióndelasvíasrespiratoriasIrritacióndelasvíasrespiratoriasEfectonarcóticoIrritacióndelasvíasrespiratoriasIrritacióndelasvíasrespiratoriasEfectonarcóticoIrritacióndelasvíasrespiratorias
