0,1,2,3
inco,mpatiblematerials(seeSection,10oftheSDS).,
8.Exposurecontrols/personal,protection,,
Occupationalexposurelimits,,,
Thefollowingconstituentsaretheon,lyconstituentsoftheproduct,"whichhaveaPEL,TLVorotherr",ecommendedexposurelimit.
"Atthistime,theotherconstituentsh",avenoknownexposurelimits.,,
US.OSHATableZ-1LimitsforAir,Contaminants(29CFR1910.,1000),
Components,Type,Value,Form
acetone(CAS67-64-1),PEL,2400mg/m3,
,,1000ppm,
ethylbenzene(CAS,PEL,435mg/m3,
100-41-4),,,
,,100ppm,
isobutylacetate(CAS,PEL,700mg/m3,
110-19-0),,,
,,150ppm,
methylisobutylketone,PEL,410mg/m3,
(CAS108-10-1),,,
,,100ppm,
methylpropylketone(CAS,PEL,700mg/m3,
107-87-9),,,
,,200ppm,
propane(CAS74-98-6),PEL,1800mg/m3,
,,1000ppm,
titaniumdioxide(CAS,PEL,15mg/m3,Totaldust.
13463-67-7),,,
