chunk_id,document_id,section_number,section_name,content_type,token_count,cas_numbers,hazard_codes,keywords,content_preview
FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND_S11_001,FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND,11,Información toxicológica,text,484,14807-96-6; 7632-00-0; 7727-43-7; 25265-77-4; 64742-54-7; 14808-60-7,,gas; Quart; Skin; Pentanediol; been; 14807-96; 50 ; cause; components; Sulfate; 2;  5 ; E; Page; serious; fumes;  64742-54; crystalline; harmful; EFFECTS; tremolite; LC50;  7632-00; inhalable; 5000 ; pulmonary; No; sufficient; and; CHRONIC; non; Hydrous;  15000 ; which; EYE; form; Substance; 6 ; SKIN; mist; promptly; be; in; Nitrite; have; 7727-43-7; 7 Bar; Quartz; Petroleum; individual; tested; acute; 7727-43; Information; concentrations; other; 0 ;  5500 ; contain; as; of;  85 ; exposed; PRIMARY; silicosis; tabulated; Vapor; hazard; L; Low; Absorption; Chalked;  3200 ; Eye; NTP; below; is; INGESTION; lung; human; Avoid; also; these; Inhalation; based; if; Constituents; evidence; Sodium; Tidal; Magnesium; Rabbit; Rat; Pond; 25265-77-4; 100 ; Not; inhaled; Inhalable; impurities; dust; personnel; TOXICITY; N;  307000 ; spray; Dermal; INHALATION; Silica; 4 ;  25265-77; group; VALUES; Contact; minimus; handling; injure; silicates; Distillates; exposure; humans; swallowed; Barium; Silicate; Paint; listed; OF; effects; 14807-96-6; include; progressive;  5.5 ; ENTRY; 1; CONTACT; known; Oral; 15200 ; 64742-54-7; Established;  30 ; the; Chemical; LD50; carcinogen; I; Data; on; Crystalline;  3 ; CAS; animals; mg; breathing; vapor; Irritating; for; occupationally; are; 7 ; Printed; trained; Trimethyl; problems; Name; may; product; carcinogenic; Monoisobutyrate; ROUTE;  6000 ; 3; eye; Heavy; The; 14808-60-7; commercial; this; HAZARDS; Hydrotreated; industrial; S; to; Ingestion; kg; 7632-00-0; Date; removed; OVEREXPOSURE; asbestiform; usual; Paraffinic; High; silica; or; not; IARC;  14808-60; 3.55 ; above; ACUTE; a; de; vapors; fibrosis; 4; by; tissue,"EFFECTS OF OVEREXPOSURE - EYE CONTACT: Irritating, and may injure eye tissue if not removed promptly..."
FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND_S12_001,FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND,12,Información ecológica,text,28,,,for; ecotoxicity; found; Product; a; mixture; No; was; ECOLOGICAL; of; is; this; product; INFORMATION; components; listed; data,ECOLOGICAL INFORMATION: Product is a mixture of listed components. No ecotoxicity data was found for...
FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND_S13_001,FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND,13,Consideraciones de eliminación,text,73,,,Number; Information; for; concentrations; material; 005 ; DISPOSAL; accordance; ordinances; of; L;  100.0 ; level;  262 ; Waste; Regulatory; with; Barium; S; to; CFR; Hazardous; and; or; Dispose; regulations; the; above; local; EPA; U;  40 ; mg; at; in; state; RCRA; D005; federal,"Information DISPOSAL: Dispose of material in accordance to local, state, and federal regulations and..."
FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND_S14_001,FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND,14,Información sobre transporte,text,67,,,Number; N; Name; Hazard; Quantity; International; TDG; Shipping; Limited; Regulated; Group; Domestic; Air; Class; A; Canada; Proper; No; IATA; USDOT; IMDG; UN; Not; Packing,Domestic (USDOT) International (IMDG) Air (IATA) TDG (Canada) UN Number: N.A. N.A. N.A. N.A. Proper ...
FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND_S15_001,FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND,15,Información reglamentaria,text,273,7632-00-0; 7727-43-7; 68411-06-3; 1328-53-6,,Known; Quart; been; substances; Sulfate; Substances;  7727-43;  5 ; Act; Page;  7 ; Category;  7632-00; CFR;  311 ; Superfund; Amendment; No; P65Warnings; and; 6 ; U;  40 ; from; Nitrite; 7727-43-7;  68411-06; following; Control; 0 ; of; Federal; Categories; gov;  312 ; Sections; 65; part; Chalked; 1328-53;  1986 ; chemical; is; 1328-53-6; Blue147; States; according; Reproductive; SARA; Sodium; CERCLA; if; Tidal; definitions; 3 ; reviewed; Cancer; TSCA; Pond; has;  4 ; WARNING; reporting; Toxic; applicable; considered; State; Phthalimido; requirements; Title; Proposition; Barium; Reauthorization; Paint; None; 8 ; California; 68411-06-3; under; Section; This; the; Chemical; CAS; Pigment; www; Green; 7 ;  65 ; Printed;  372; Name; Hazard; meet; Regulations; product; ca; III; Phthalocyanine;  313 ; S; United; to; subject;  12; 7632-00-0; Date; categories; promulgated; EPA; Harm; 147-14; b; exported; contains,U.S. Federal Regulations: CERCLA - SARA Hazard Category This product has been reviewed according to ...
FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND_S16_001,FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND,16,Otra información,text,395,,,Statement; SDS; X; Quart; Threshold; However;  5 ; conditions; control; E; sheet; unknown; Page; accurate; recommendations; Instability;  59 ; HMIS; and; Protection; Oleum; user; comply; Substance; date; reliability; from; in; be; All; all; final; property;  0 ; contained; Information; warranty; Organic; offered; Rust; REASON; of; L; NFPA; its; as; should; use; incurred; believes; Chalked; safety; with; best; is; caution; responsibility; these; obtained; herein; Volatile; Hazardous; Tidal; damage; results; materials; personal;  11 ; accuracy; Revision;  5; liability; examination; we; Determined; suitability; Properties; Pond; hazards; Compounds; Not; no; data; federal; Physical; material; N; expressed; Legend; applicable; laws; our; Flag; D;  2; Toxicological; present;  1 ; implied; Composition; regarding; Personal; handling; assume; reliable; g; Paint; Flammability; Exposure; knowledge; Health; s; Established; Section; the; Chemical; local; state; Controls; determine; for; are; makes; It; their; Name; Hazard; DATE; may; belief; beyond; FOR; Product;  08 ; because; used; RATINGS; Applicable; The; REVISION; this;  2 ; storage; Corporation; to; injury; or; consideration; users; regulations; information; Changed; international; A; by,HMIS RATINGS Health: 2* Flammability: 1 Physical Hazard: 0 Personal Protection: X NFPA RATINGS Healt...
FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND_S03_001,FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND,3,Tabla 1,table,16,,,1921; 0; com; rustoleum; www; TrustedQualitySince1921;  1; SafetyDataSheet,0: SafetyDataSheet | 1: *TrustedQualitySince1921*www.rustoleum.com
FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND_S08_001,FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND,8,Tabla 1,table,26,,,0;  5; CAS; STEL; TLV-TWA | 3: ACGIHTLV-STEL | 4: OSHAPEL-TWA | 5: OSHAPEL-CEILING; TWA; Weight; PEL-TWA | 5: OSHAPEL-CEILING; LessThan;  4; No;  3; OSHAPEL; ACGIHTLV; CEILING;  2;  1,0: CAS-No. | 1: Weight%LessThan | 2: ACGIHTLV-TWA | 3: ACGIHTLV-STEL | 4: OSHAPEL-TWA | 5: OSHAPEL-C...
FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND_S03_001,FDS 6 - R-O QT 2PK LATAM CHALKED PAINT TIDAL PND,3,Tabla 1,table,149,14807-96-6; 7632-00-0; 7727-43-7; 25265-77-4; 64742-54-7; 14808-60-7,," 0.025; 0; 7 ; N; Trimethyl; 0 ; 4 ;  2; HydrotreatedHeavyParaffinicPetroleumDistillates; BariumSulfate;  25265-77; PentanediolMonoisobutyrate; 2;  7727-43; 3; E;  1.0 ; 14808-60-7;  64742-54;  1; m3; 14807-96-6;  7632-00;  14807-96; 7632-00-0;  15; CrystallineSilica; 1; 
0;  4; 64742-54-7; 3 ;  6;  15.0 ;  14808-60;  5; HydrousMagnesiumSilicate; 6 ;  50; 7727-43-7; 25265-77-4; Quartz;  3; 4; SodiumNitrite","0: HydrousMagnesiumSilicate | 1: 14807-96-6 | 2: 15.0 | 3: 2mg/m3 | 4: N.E. | 5: N.E. | 6: N.E.
0: B..."
FDS 39 -sellador-nitrocelulosico_S01_001,FDS 39 -sellador-nitrocelulosico,1,Identificación del producto y la empresa,text,321,,,"deseche; LA; permita; los; 5 ; Nit; Nombre; en; cerca; INFORMACION; INFLAMABLE; Y; reacondicionamiento; 2; INGREDIENTES; alejado; PERSONAL; FABRICANTE; ejemplo; sopletes; QUIMICA; envase; 2-0 ; Elimine; No;  2018 ; limpieza; todas; Solvente; Obedezca; su; almacenamiento;  0 ; DEL; PELIGRO;  25%; 44 ; Empresa; limpiando; con;  38%; use; transporte; dadas; destruya; horade; calor; RIESGOS; Producto; para; SOBRE; Clase; Octubre; peligrosos; siguiendo; PELIGRO FÍSICO 0 PROTECCIOÓN PERSONAL; nitrocelulosa; soldadoras; instrucciones; Resina; 49 ; instalaciones; no; el; As2O5; anillo;  137 ; N; Fecha; TECNIDECOR; del; facilite; peligroso; tapa; reciclamiento; IDENTIFICACION;  1 ;  900112215-2 ; SUBSTANCIA; producto; residuos; SELLADOR;  30%; CuO; chispas; un; derrame; peligrosos del envase, por ejemplo, limpiando con un paño húmedo; Deseche; u; forma; donde; por; COMPOSICION; se; borre; incluir; todos;  1263 ;  3; etiquetas; excepto; La; la; NITROCELULOSICO; o; precauciones; original; inflamable; Pbx; las; parte; Extenders; 3; Aditivos; y;  444 ;  2 ; distribuya; llamas; disponga; alguna; S; interna; DE; ofrezca; corte; SALUD; UN; de;  7%; CrO3; cierre; El; A; desecho",DEL FABRICANTE Y DE LA SUBSTANCIA QUIMICA Empresa: TECNIDECOR S.A.S Nit: 900112215-2 Pbx: 444 49 44 ...
